_time,torque,position,cluster_labels,cluster_id
2024-11-14T05:38:19Z,4,1000.0,cluster_1,1
2024-11-14T05:38:20Z,4,1000.0,cluster_1,1
2024-11-14T05:38:21Z,4,1000.0,cluster_1,1
2024-11-14T05:38:22Z,4,1000.0,cluster_1,1
2024-11-14T05:38:23Z,4,1000.0,cluster_1,1
2024-11-14T05:38:24Z,4,1000.0,cluster_1,1
2024-11-14T05:38:25Z,4,1000.0,cluster_1,1
2024-11-14T05:38:26Z,0,1000.0,cluster_1,1
2024-11-14T05:38:27Z,0,999.0,cluster_1,1
2024-11-14T05:39:28Z,39,11.0,cluster_1,1
2024-11-14T05:39:29Z,31,36.0,cluster_1,1
2024-11-14T05:39:30Z,31,66.0,cluster_1,1
2024-11-14T05:39:31Z,31,100.0,cluster_1,1
2024-11-14T05:39:32Z,28,128.0,cluster_1,1
2024-11-14T05:39:33Z,24,159.0,cluster_1,1
2024-11-14T05:39:34Z,20,188.0,cluster_1,1
2024-11-14T05:39:35Z,24,218.0,cluster_1,1
2024-11-14T05:39:36Z,20,249.0,cluster_1,1
2024-11-14T05:39:37Z,24,278.0,cluster_1,1
2024-11-14T05:39:38Z,20,311.0,cluster_1,1
2024-11-14T05:39:39Z,20,343.0,cluster_1,1
2024-11-14T05:39:40Z,24,376.0,cluster_1,1
2024-11-14T05:39:41Z,28,407.0,cluster_1,1
2024-11-14T05:39:42Z,24,434.0,cluster_1,1
2024-11-14T05:39:43Z,28,467.0,cluster_1,1
2024-11-14T05:39:44Z,24,496.0,cluster_1,1
2024-11-14T05:39:45Z,24,528.0,cluster_1,1
2024-11-14T05:39:46Z,28,558.0,cluster_1,1
2024-11-14T05:39:47Z,28,587.0,cluster_1,1
2024-11-14T05:39:48Z,28,618.0,cluster_1,1
2024-11-14T05:39:49Z,28,648.0,cluster_1,1
2024-11-14T05:39:50Z,31,678.0,cluster_1,1
2024-11-14T05:39:51Z,31,708.0,cluster_1,1
2024-11-14T05:39:52Z,31,738.0,cluster_1,1
2024-11-14T05:39:53Z,31,768.0,cluster_1,1
2024-11-14T05:39:54Z,31,798.0,cluster_1,1
2024-11-14T05:39:55Z,35,828.0,cluster_1,1
2024-11-14T05:39:56Z,35,858.0,cluster_1,1
2024-11-14T05:39:57Z,35,889.0,cluster_1,1
2024-11-14T05:39:58Z,39,919.0,cluster_1,1
2024-11-14T05:39:59Z,35,949.0,cluster_1,1
2024-11-14T05:40:00Z,24,977.0,cluster_1,1
2024-11-14T05:40:01Z,12,993.0,cluster_1,1
2024-11-14T05:40:02Z,8,1000.0,cluster_1,1
2024-11-14T05:40:03Z,8,1000.0,cluster_1,1
2024-11-14T05:40:04Z,8,1000.0,cluster_1,1
2024-11-14T05:40:05Z,8,1000.0,cluster_1,1
2024-11-14T05:40:06Z,8,1000.0,cluster_1,1
2024-11-14T05:40:07Z,8,1000.0,cluster_1,1
2024-11-14T05:40:08Z,8,1000.0,cluster_1,1
2024-11-14T05:40:09Z,8,1000.0,cluster_1,1
2024-11-14T05:40:10Z,8,1000.0,cluster_1,1
2024-11-14T05:40:11Z,8,1000.0,cluster_1,1
2024-11-14T05:40:12Z,8,1000.0,cluster_1,1
2024-11-14T05:40:13Z,8,1000.0,cluster_1,1
2024-11-14T05:40:14Z,8,1000.0,cluster_1,1
2024-11-14T05:40:15Z,8,1000.0,cluster_1,1
2024-11-14T05:40:16Z,8,1000.0,cluster_1,1
2024-11-14T05:40:17Z,8,1000.0,cluster_1,1
2024-11-14T05:40:18Z,8,1000.0,cluster_1,1
2024-11-14T05:40:19Z,8,1000.0,cluster_1,1
2024-11-14T05:40:20Z,8,1000.0,cluster_1,1
2024-11-14T05:40:21Z,8,1000.0,cluster_1,1
2024-11-14T05:40:22Z,8,1000.0,cluster_1,1
2024-11-14T05:40:23Z,8,1000.0,cluster_1,1
2024-11-14T05:40:24Z,8,1000.0,cluster_1,1
2024-11-14T05:40:25Z,8,1000.0,cluster_1,1
2024-11-14T05:40:26Z,0,1000.0,cluster_1,1
2024-11-14T05:40:27Z,0,998.0,cluster_1,1
2024-11-14T05:41:28Z,31,11.0,cluster_1,1
2024-11-14T05:41:29Z,31,39.0,cluster_1,1
2024-11-14T05:41:30Z,31,69.0,cluster_1,1
2024-11-14T05:41:31Z,28,103.0,cluster_1,1
2024-11-14T05:41:32Z,28,131.0,cluster_1,1
2024-11-14T05:41:33Z,24,162.0,cluster_1,1
